BATCH,FASSpecimen,length_cm,Decimal age
14,111,137,6.5778
14,112,85,1.6722
14,113,92,1.6250
14,114,70,1.6722
14,115,75,1.6778
14,116,130,4.5861
14,117,87,1.6306
14,118,50,0.3778
14,119,46,0.3694
14,120,47,0.4556
14,121,135,5.4667
14,122,41,0.4250
14,123,53,0.4556
14,124,138,6.4722
14,125,49,0.3722
14,126,128,5.3667
14,127,113,2.4778
14,128,63,0.6472
14,129,67,0.8722
14,130,138,5.4639
14,131,83,2.4806
14,132,122,3.4639
14,133,77,1.6500
14,134,99,2.4806
14,135,126,3.4806
14,136,122,6.4639
14,137,87,1.3722
14,138,61,0.5667
14,139,28,0.4611
14,140,135,4.4694
14,141,121,3.4556
14,143,71,1.6833
14,144,52,0.6472
14,145,46,0.4444
14,146,90,2.6194
14,147,80,1.3056
14,148,99,2.8722
14,149,46,1.1639
14,150,112,2.8806
14,151,109,3.7083
14,152,89,1.8806
14,153,50,1.1639
14,154,90,1.8667
14,155,51,1.1611
14,156,39,1.1611
14,157,55,1.1667
14,158,73,1.8806
14,159,48,1.1611
14,160,46,1.1056
14,161,60,1.1667
14,162,118,4.8722
14,163,47,1.1611
14,164,97,2.3111
14,165,48,0.7944
14,166,57,0.7889
14,167,55,0.7889
14,168,86,1.7944
14,169,58,0.7889
14,170,64,1.7972
14,171,52,0.8944
14,172,45,1.0806
14,173,65,0.7917
14,174,64,1.7944
